cluster,topic,sentence,review_id,rating
0,3,인터넷도 눈에띄게 딜레이가 자주 생기고 카카오톡 글자 쓰는칸이 간헐적으로 사라져서 안보일때도 있고..,812780766,1
0,0,"속도도 체감상 굉장히 빠르고, 앱 전환이나 멀티태스킹 시 버벅임",815515706,4
0,1,여러 앱을 동시에 사용해도 버벅임,829445678,4
0,4,해서 앱 전환이나 실행할 때 버벅임,882786975,5
0,-1,"앱 실행 속도, 멀티태스킹, 게임 구동까지 전반적으로 끊김",873997416,5
0,0,"앱 실행 속도나 전환 속도가 매우 빠르고, 
여러 작업을 동시에 해도 버벅임",871266155,5
0,-1,"일상적인 앱 사용은 물론이고, 고부하 작업에서도 버벅임",866331997,5
0,-1,"카톡, 인스타, 유튜브, 게임, 사진 촬영까지 막힘",849421187,5
0,0,"성능 또한 일상 사용에서는 부족함을 느끼기 어려웠고, 여러 앱을 동시에 실행해도 끊김",840910856,5
0,-1,터를 옮길수 있는데 소프트웨어 버전이 중요합니다!,786484903,5
0,5,"앱 전환, 카메라 실행, 멀티태스킹 모두 끊김",827564396,5
0,-1,"성능
앱 전환, 멀티태스킹, 게임까지 버벅임",842031631,5
0,0,속도는 말해 뭐해… 앱 전환 빠르고 버벅임,842027337,5
0,5,무거운 앱이나 멀티태스킹도 끊김,811780840,5
0,-1,"앱 실행,전환, SNS, 영상 시청, 게임까지 일상에서 버벅임",808923517,5
0,0,"앱 실행 속도는 물론이고, 여러 앱을 동시에 돌려도 끊김",802870779,5
0,6,성능 & 내부 사양 A19 칩 탑재로 속도 쾌적하고 버벅임,777092388,5
0,2,무거운 게임이나 영상 편집 앱 돌릴 때도 버벅임,772161148,5
0,-1,무거운 게임이나 영상 편집 앱 돌릴 때도 버벅임,772161463,5
0,1,여러 앱을 왔다 갔다 할 때도 버벅임,877729508,5
0,0,"기기 발열도 거의 없고, 무거운 앱 돌릴 때도 버벅임",815483242,5
0,0,"앱 전환 속도도 엄청 빠르고, 멀티태스킹 해도 버벅임",815483242,5
0,5,해서 앱 실행이나 멀티태스킹할 때 끊김,874425764,5
0,1,앱 여러 개 동시에 켜도 버벅임,879072680,4
0,1,내가 사용했던 앱들 모두 닫기안됨,884675667,5
0,1,여러 앱을 동시에 켜놓고 써도 버벅임,876186742,5
0,0,"속도는 진짜 체감 바로 되는 부분인데
앱 전환이나 영상, 게임 돌릴 때 버벅임",879974706,5
0,0,"앱 실행이나 화면 전환
바로바로 넘어가고
끊김",865801287,5
0,2,"영상 보거나 게임해도
버벅임",865801287,5
0,4,앱 전환이나 카메라 실행할 때 버벅임,876175386,5
